"","created_at","status_id","text","favorite_count","retweet_count","flag"
"1",2020-12-09 23:15:50,"1336811823232921600","Wow! At least 17 States have joined Texas in the extraordinary case against the greatest Election Fraud in the history of the United States. Thank you!",116425,26558,FALSE
"2",2020-12-09 18:05:00,"1336733602902659075","At 10:00 P.M. on Election Evening, we were at 97% win with the so-called “bookies”.",172639,29522,TRUE
"3",2020-12-09 17:54:17,"1336730906107768842","If somebody cheated in the Election, which the Democrats did, why wouldn’t the Election be immediately overturned? How can a Country be run like this?",185876,38489,FALSE
"4",2020-12-09 15:34:35,"1336695746029121537","#OVERTURN",222209,44085,TRUE
"5",2020-12-09 15:19:37,"1336691981981016066","No candidate has ever won both Florida and Ohio and lost. I won them both, by a lot! #SupremeCourt",251985,44596,TRUE
"6",2020-12-09 15:17:46,"1336691515398250498","We will soon be learning about the word “courage”, and saving our Country. I received hundreds of thousands of legal votes more, in all of the Swing States, than did my opponent.   ALL Data taken after the vote says that it was impossible for me to lose, unless FIXED!",175097,40496,FALSE
"7",2020-12-09 14:59:18,"1336686867656355850","This case had nothing to do with me. Fake News (as usual!). https://t.co/CZnO4GFcco",62340,13145,TRUE
"8",2020-12-09 14:42:29,"1336682635725320193","STOCK MARKETS AT NEW ALL TIME HIGHS!!!",165826,21575,TRUE
"9",2020-12-09 14:35:12,"1336680803682693126","RIGGED ELECTION!",247286,43570,FALSE
"10",2020-12-09 14:34:51,"1336680713568071681","There is massive evidence of widespread fraud in the four states (plus) mentioned in the Texas suit. Just look at all of the tapes and affidavits!",156991,32951,FALSE
"11",2020-12-09 14:27:56,"1336678973980487681","Germany has consistently been used by my obnoxious critics as the country that we should follow on the way to handle the China Virus. So much for that argument. I love Germany - Vaccines on the way!!! https://t.co/hEeKIqDMQn",66271,12978,TRUE
"12",2020-12-09 13:44:39,"1336668083822473221","We will be INTERVENING in the Texas (plus many other states) case. This is the big one. Our Country needs a victory!",229435,43470,TRUE
"13",2020-12-09 13:39:36,"1336666810742149120","This was not my case as has been so incorrectly reported. The case that everyone has been waiting for is the State’s case with Texas and numerous others joining. It is very strong, ALL CRITERIA MET. How can you have a presidency when a vast majority think the election was RIGGED? https://t.co/ZKu9sNVz2U",98876,24482,FALSE
"14",2020-12-08 22:34:34,"1336439050488647681","NASDAQ and S&amp;P close at all-time highs. Congratulations!",233464,29570,TRUE
"15",2020-12-08 21:00:23,"1336415351383449601","Every waking moment is about one purpose: saving American lives by delivering safe and effective Coronavirus therapeutics and vaccines, General Perna said. https://t.co/SwRZfbEHrK",0,8426,TRUE
"16",2020-12-08 20:59:27,"1336415114191400966","""The plan we put forward prioritizes the elderly and patients with underlying conditions, as well as healthcare workers and first responders."" https://t.co/kQWIhjE7xX",0,8591,TRUE
"17",2020-12-08 20:59:21,"1336415090770399236","""If authorized, tens of millions of vaccine doses will be available this month . . . and hundreds of millions more will quickly follow. Every American who wants the vaccine will be able to get the vaccine."" https://t.co/Ofo2Opbbir",0,8338,TRUE
"18",2020-12-08 20:59:13,"1336415057601761282","Before Operation Warp Speed, the typical timeline for vaccine development and approval lasted years. https://t.co/fvVehwRWXn",0,6529,TRUE
"19",2020-12-08 20:59:08,"1336415036210864130","""From the instant the Coronavirus invaded our shores, we raced into action to develop a safe and effective vaccine . . . 

We harnessed the full power of government, the genius of American scientists, and the might of American industry to save millions and millions of lives."" https://t.co/dJvJUVMPsB",0,7553,TRUE
"20",2020-12-08 20:45:28,"1336411597330391046","LIVE: Operation Warp Speed Vaccine Summit https://t.co/ul5LUXKQWp",0,7683,TRUE
"21",2020-12-08 20:29:14,"1336407510069161988","They got caught because we were leading by so much more than they ever thought possible. Late night ballot “dumps” went crazy! https://t.co/gPpVWUUs91",143616,37360,FALSE
"22",2020-12-08 20:28:10,"1336407243743498246","Thank you and congratulations to General Flynn. He and his incredible family have suffered greatly! https://t.co/UjH6LVuON8",162437,33162,TRUE
